gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,direction
LOC101112936,401.2055981441853,-1.2022137218136413,0.3608357635238353,-3.3317476906199963,8.630246196927482e-4,0.039519910140754504,Down
FAM151A,475.7661235311407,1.477045381031577,0.44437743318744266,3.3238532623877526,8.878289762236416e-4,0.04026978707662486,Up
SCAND1,708.8324145098301,1.1278304909389956,0.3401182314902626,3.3159953995917584,9.131733202236555e-4,0.041158846536998916,Up
SERF2,4329.094320126452,1.158274766851132,0.35015124211850107,3.307927054158897,9.398928784928553e-4,0.04196724183002522,Up
ABHD1,128.89128742437197,2.007048516668878,0.6069526483679698,3.306762927990536,9.438073087005562e-4,0.042011149551568545,Up
IL4I1,166.7608602474805,1.0709460282180878,0.32406582299810516,3.3047175981416275,9.507214265418061e-4,0.04204836310176367,Up
LOC114109083,117.27696812278964,1.85017542746642,0.559708183373675,3.3056072475381284,9.477082733497416e-4,0.04204836310176367,Up
TIGD6,168.9261392781274,1.1324723961345697,0.34396210617509626,3.292433601851702,9.932434803316757e-4,0.0431196627789388,Up
PLAC8,217.6289108665355,-1.4238110785459575,0.43307588518499623,-3.2876711155084304,0.0010101977690304305,0.043611941637087835,Down
LOC101113211,1817.9106715940175,1.6409929448363962,0.4995619551828996,3.2848637247317924,0.001020317082968794,0.04391653078135652,Up
SH2D6,20.875548336075493,3.0841489148136274,0.9419503926445605,3.2742158598764055,0.0010595563821533482,0.04492847475417625,Up
CIAPIN1,775.2421522711652,1.0662212029087093,0.32572326935369456,3.2733958646071644,0.0010626353827995361,0.04492847475417625,Up
APC2,130.44355685720888,1.7133779358427348,0.5238133971979242,3.2709700534737003,0.0010717925933221508,0.04518236247084231,Up
LOC114115685,62.80818541976266,-1.1259425486160322,0.344431123422137,-3.2689918885061666,0.001079313956252688,0.04536600274184686,Down
LOC101104414,33.16196262664422,-1.7232526399267112,0.5276107461207653,-3.266143937736011,0.0010902281800152572,0.04569076170806632,Down
PKP3,39.027419110037286,1.3929294005387667,0.4273883780807076,3.2591653680290933,0.0011174051463405485,0.04655746500726477,Up
TSPO,643.7467099210058,1.1528314572201896,0.3542850402749704,3.2539659487892725,0.0011380592027559662,0.04700807652190565,Up
FKBP5,2631.803005158126,1.8095828033180237,0.5560369569370486,3.254429010053903,0.0011362055327113426,0.04700807652190565,Up
THBS2,205.8119782974978,-1.1960072924638732,0.3688266498303764,-3.242735558870048,0.0011838803768242179,0.048343468492938795,Down
ZNF580,401.8594733876649,1.59786856186461,0.49296214692885554,3.2413615767849513,0.001189601918950737,0.04843910313727533,Up
PRODH2,2656.72956765277,1.2749922744052027,0.3938429661597594,3.237311273671476,0.0012066172012432492,0.048992760185324336,Up
LOC101108197,737.7348855884494,1.2321652115174109,0.3815409082218319,3.229444562733538,0.0012403092536429669,0.04940665092185579,Up
