D0_R1	D0_R2	D0_R3	D7_R1	D7_R2	D7_R3	D14_R1	D14_R2	D14_R3
AQP6	0	0	1	0	0	654	0	3	2
AQP5	1	0	1	2	1	2	2	0	0
AQP2	4451	2636	2637	1719	1404	4451	3294	3143	3683
LOC114113984	12	5	4	16	9	18	17	22	17
FAIM2	28	6	2	12	4	34	21	12	2
BCDIN3D	246	120	145	129	113	118	73	108	158
NCKAP5L	374	241	193	421	587	383	301	358	306
TMBIM6	80028	26378	37482	30568	25808	27022	33789	33175	46698
FMNL3	1235	832	829	984	1051	1117	639	682	818
PRPF40B	359	317	264	729	833	538	331	287	472
FAM186B	30	16	23	19	21	34	24	13	9
MCRS1	584	359	342	596	571	586	391	313	580
KCNH3	1	0	0	5	3	3	1	3	3
SPATS2	325	180	214	176	106	220	178	135	224
DNAJC22	604	241	380	425	339	209	445	270	1403
C1QL4	0	0	0	0	0	0	0	0	0
TROAP	3	2	7	18	3	4	3	2	2
PRPH	2	4	0	2	6	2	1	0	0
LOC114113987	813	300	370	469	455	419	328	371	413
TUBA1C	407	151	208	256	194	272	191	226	288
LOC114113988	2	3	1	1	0	0	1	2	1
TUBA1A	416	169	213	480	327	395	379	217	329
LOC106990101	2912	1623	1559	2885	2549	3004	1343	1810	2456
LMBR1L	101	69	30	120	104	113	91	57	113
TRNAC-GCA_84	0	0	0	0	0	0	0	0	0
DHH	9	12	7	6	3	18	9	5	19
RHEBL1	0	5	1	12	3	2	4	2	12
KMT2D	2198	1395	1758	944	1026	1333	1638	1388	1898
PRKAG1	492	363	403	455	441	389	329	293	407
DDN	795	614	318	998	887	1184	414	666	816
WNT1	0	0	0	0	0	0	0	0	0
WNT10B	5	0	2	5	11	7	2	7	0
ARF3	1993	1234	1393	1624	1609	1729	1448	1383	1781
TRNAN-GUU_28	0	0	0	0	0	0	0	0	1
FKBP11	450	293	265	443	388	412	286	213	438
CCDC65	13	4	2	11	13	8	4	12	5
RND1	78	41	58	61	40	44	24	28	53
DDX23	1110	864	903	1031	1015	937	853	816	901
CACNB3	133	156	156	190	182	243	227	172	176
LOC114114299	0	0	0	0	0	0	0	0	0
ADCY6	1184	742	789	995	968	1296	921	967	1560
TEX49	6	4	1	24	9	9	9	2	9
CCNT1	938	630	749	547	528	946	501	471	911
KANSL2	570	434	400	758	636	642	341	345	587
LOC114114244	2	0	1	0	0	0	0	1	6
LOC114114245	3	5	4	1	2	12	7	1	8
LOC114114247	3	11	8	10	3	5	8	4	12
LALBA	0	0	0	0	0	0	0	0	0
LOC101122017	0	0	0	0	0	0	0	0	0
LOC101122268	0	0	0	0	0	0	0	0	0
LOC101122513	0	0	0	0	0	0	0	0	0
LOC101122776	0	0	0	0	0	0	0	0	0
LOC101123028	0	0	0	0	0	0	0	0	0
LOC101123547	0	0	0	0	0	0	0	0	0
LOC114114276	0	0	0	0	0	0	0	0	0
LOC114113755	0	0	0	0	0	0	0	0	0
LOC114113756	0	0	0	0	0	0	0	0	0
LOC101102972	0	0	0	0	0	0	0	0	0
LOC114113757	0	0	0	0	0	0	0	0	0
LOC101102226	0	0	0	0	0	0	0	0	0
LOC101102472	0	0	0	0	0	0	0	0	0
LOC101103465	0	0	0	0	0	0	0	0	0
C3H12orf54	0	0	0	0	0	0	0	0	0
LOC101103970	0	0	0	0	0	0	0	0	0
LOC101104739	0	0	0	0	0	0	0	0	0
ZNF641	80	58	77	84	66	92	63	73	101
LOC101105997	3	0	2	2	0	0	2	0	0
LOC101106515	0	0	0	0	0	0	0	0	0
LOC101106764	0	0	0	0	0	0	0	0	0
CCDC184	2	8	4	11	7	7	2	9	1
ASB8	745	549	544	754	633	568	509	502	815
PFKM	574	412	440	518	604	565	524	442	602
SENP1	294	212	190	128	116	305	136	185	245
COL2A1	16	28	20	60	86	34	41	35	53
TMEM106C	1865	953	1048	1249	1252	819	1235	766	2013
VDR	1828	872	1007	1281	1269	1643	1424	1086	2273
LOC105611708	2	2	0	5	9	11	6	0	8
HDAC7	755	455	370	770	884	915	552	565	659
SLC48A1	2041	1132	1104	1519	1413	1219	1255	1242	1873
LOC114113993	2	5	1	1	4	3	3	2	1
RAPGEF3	2619	1518	1328	3044	3154	3207	2232	1788	3217
LOC114113994	6	3	1	0	1	3	2	5	8
ENDOU	23	28	34	22	14	35	17	32	9
RPAP3	880	470	523	485	424	564	397	458	562
LOC105611709	0	0	0	0	0	0	0	0	0
PCED1B	64	61	54	52	59	47	46	52	69
LOC114113995	4	6	10	3	3	6	6	4	12
AMIGO2	281	282	408	163	104	206	135	172	177
TRNAG-CCC_34	0	0	0	0	0	0	0	0	0
LOC106990997	0	4	1	0	0	0	1	0	0
SLC38A4	8	15	8	0	0	14	1	0	10
SLC38A2	2323	2010	2371	1718	1243	2942	1172	1367	2669
SLC38A1	110	101	80	26	23	81	50	49	80
SCAF11	3686	1856	2264	1215	957	2345	1514	1575	2771
ARID2	679	401	571	223	242	600	337	356	563
LOC114114144	0	0	0	0	0	0	0	0	0
ANO6	1522	1115	994	707	593	1631	568	730	1136
TRNAS-GGA_39	0	0	0	0	0	0	0	0	0
LOC114114297	0	1	0	0	0	0	0	0	0
DBX2	1	0	7	0	0	15	0	0	5
NELL2	649	425	292	415	434	781	324	383	893
TMEM117	278	197	161	283	202	290	138	129	252
TWF1	2268	1231	1388	987	802	1674	995	938	2159
IRAK4	336	222	224	184	184	307	149	152	215
PUS7L	361	170	238	186	248	288	181	219	286
ADAMTS20	2	0	0	6	0	7	0	0	1
LOC114114153	0	0	0	0	0	0	0	0	0
LOC114114219	0	0	0	0	0	0	0	0	0
TRNAW-CCA_39	0	0	0	0	0	0	0	0	0
PRICKLE1	486	373	240	254	227	389	260	237	385
PPHLN1	1222	785	879	704	541	957	604	513	1003
ZCRB1	554	301	474	344	383	406	276	257	409
YAF2	728	422	417	435	443	460	339	293	694
GXYLT1	873	515	554	362	303	675	408	380	752
LOC105608615	1	4	0	0	1	1	11	0	3
LOC114113997	0	0	0	0	0	0	0	0	0
LOC114113765	0	0	0	0	0	0	0	0	0
PDZRN4	3	4	9	7	0	9	2	1	5
TRNAQ-CUG_14	0	0	0	0	0	0	0	0	0
CNTN1	224	285	124	111	80	367	204	146	205
LOC114113767	0	0	0	0	0	0	0	0	0
LOC105612842	1	4	2	3	4	5	1	0	6
LOC114113998	5	2	3	0	0	0	0	1	0
LOC114113999	0	0	1	1	0	0	5	3	2
LRRK2	2761	910	1639	345	289	840	929	851	1469
SLC2A13	284	103	156	13	4	98	92	83	190
LOC114114000	2061	671	1301	433	288	1060	548	578	1518
C3H12orf40	4	0	5	9	0	7	6	2	1
ABCD2	45	18	13	23	26	31	8	10	57
KIF21A	751	407	581	74	83	332	444	379	504
LOC114114001	205	101	106	200	141	183	118	98	194
CPNE8	140	90	178	96	74	234	61	107	103
TRNAS-GGA_40	0	0	0	0	0	0	0	0	0
PTPRR	340	178	282	206	226	399	127	148	180
PTPRB	2166	2170	2269	1036	989	2722	1288	1813	3156
KCNMB4	139	136	112	166	113	174	85	106	385
TRNAR-ACG_2	0	0	0	0	0	0	0	0	0
CNOT2	1195	682	767	714	585	994	553	620	862
MYRFL	19	21	9	15	26	37	22	22	14
RAB3IP	602	638	470	648	621	809	571	498	703
BEST3	4	0	1	2	4	4	1	0	1
LRRC10	0	0	0	0	0	0	0	0	0
CCT2	2852	1931	2321	1626	1638	2319	1821	1818	3037
LOC105613532	12	10	9	27	20	14	9	7	3
FRS2	1492	869	1022	651	493	1832	576	755	1212
LOC114114240	1	1	0	0	0	3	4	0	0
YEATS4	261	146	153	138	158	184	139	139	246
LOC114114004	11	7	3	4	8	15	3	1	2
LOC101102714	4	6	13	3	2	19	9	1	2
LOC106991077	1	0	0	0	0	4	1	0	3
LOC101102969	85	35	39	42	33	70	28	37	55
LOC101103222	0	0	0	0	0	4	0	0	0
LOC443320	10	4	2	4	2	9	1	0	0
LOC443322	0	0	0	0	0	0	0	0	0
LOC101103962	0	0	0	0	0	0	0	0	0
LOC114114157	3	5	1	5	6	5	2	0	8
LYZ	62	71	31	35	20	89	64	12	61
LOC114113630	0	0	1	0	0	0	0	0	0
CPSF6	2991	1852	1833	1327	1190	3661	1227	1334	2731
TRNAC-GCA_85	0	0	0	0	0	0	0	0	0
LOC114114241	0	0	0	0	0	0	0	0	0
CPM	100	103	100	66	73	163	66	49	98
MDM2	1010	680	643	313	303	648	481	405	852
SLC35E3	602	334	380	156	226	323	327	275	452
NUP107	722	407	432	439	448	687	297	339	575
LOC114114252	9	3	11	4	2	12	1	11	6
RAP1B	4110	1479	2052	1511	1339	2298	1742	1543	3172
LOC114113633	1	0	0	0	0	7	0	1	0
LOC114113632	0	0	0	0	0	0	0	0	0
MDM1	142	82	78	52	64	62	44	50	49
IL22	0	0	0	0	0	0	0	0	0
IL26	1	0	2	0	0	0	1	0	0
IFNG	3	3	1	0	5	1	1	2	4
DYRK2	1609	947	1012	510	391	906	674	820	1236
LOC114113634	0	0	0	0	0	0	0	0	0
LOC114114005	0	0	2	0	0	1	3	2	3
CAND1	3443	1802	2226	1244	1055	2271	1430	1447	2658
LOC105611989	1	2	1	7	0	4	1	4	3
GRIP1	91	64	121	145	99	189	83	69	109
TRNAW-CCA_40	0	0	0	0	0	0	0	0	0
LOC114114283	0	0	0	0	6	0	0	0	0
HELB	565	189	327	142	117	230	275	249	389
IRAK3	448	256	339	69	81	115	261	211	244
TMBIM4	11282	5331	6886	6568	4794	5757	4744	5214	8868
LLPH	465	259	348	638	602	372	308	347	407
HMGA2	5	0	3	0	0	2	0	0	1
MSRB3	912	758	741	571	450	965	444	499	825
LEMD3	690	319	506	371	323	609	366	359	680
WIF1	73	6	56	62	26	34	35	6	13
LOC114114191	0	0	0	0	0	0	0	0	0
TBC1D30	388	293	269	168	181	200	276	288	265
GNS	7070	4843	7192	3369	2922	4285	5467	5060	7506
RASSF3	1369	810	945	694	573	1172	712	694	998
TBK1	881	470	616	420	298	559	465	437	673
XPOT	2746	1479	1750	1071	1035	1988	1278	1113	1997
C3H12orf56	0	2	3	0	0	3	1	0	5
C3H12orf66	222	143	146	135	96	160	113	125	208
SRGAP1	310	281	229	175	147	293	144	144	204
RXYLT1	207	126	116	125	128	158	149	82	152
AVPR1A	67	37	48	143	118	55	31	66	142
PPM1H	908	339	544	405	341	486	599	493	662
MIRLET7I	0	0	0	0	1	1	0	0	0
MON2	2101	1203	1427	748	632	1820	1072	994	1841
USP15	1376	752	834	649	577	1084	603	684	1194
TAFA2	2	2	2	0	0	6	0	0	1
LOC114114007	0	0	2	0	0	2	0	0	0
SLC16A7	401	424	340	383	231	1657	585	507	838
LOC101114092	1	0	1	0	0	0	0	0	0
LRIG3	1123	617	427	438	394	622	502	550	907
LOC101118866	768	481	562	595	566	561	363	393	575
LOC105612250	1	2	0	0	0	1	0	0	0
LOC114114008	7	5	11	3	4	1	10	5	7
CTDSP2	7593	4164	4481	3994	3684	4492	3888	4611	5657
MIR26A	0	0	0	0	0	0	0	0	0
AVIL	7	13	2	5	12	8	10	8	8
TSFM	701	420	415	736	837	440	563	492	754
EEF1AKMT3	612	438	483	270	254	279	372	313	487
METTL1	639	484	444	721	591	272	401	336	694
LOC101116039	872	427	853	268	257	85	771	860	713
MARCH9	392	352	333	342	297	275	412	426	472
CDK4	476	328	283	363	347	377	330	331	422
TSPAN31	1880	1150	1248	1372	1392	1210	825	788	1574
AGAP2	41	20	24	13	29	24	40	17	29
OS9	3561	2512	3305	2974	3259	1783	3459	2918	2665
B4GALNT1	20	9	7	10	31	23	14	4	11
SLC26A10	79	65	43	105	147	112	65	52	140
ARHGEF25	211	129	107	230	166	246	100	92	178
DTX3	338	284	205	447	474	350	194	166	332
PIP4K2C	1184	834	790	879	808	1054	724	735	1305
KIF5A	0	16	8	8	5	8	4	4	6
DCTN2	2534	1638	1459	2068	2009	2078	1361	1406	2150
TRNAE-UUC_35	4	0	0	9	7	0	0	2	13
MBD6	228	191	197	359	433	255	351	299	219
DDIT3	88	134	99	118	151	103	65	70	121
MARS	886	576	598	550	562	598	667	565	891
ARHGAP9	27	19	24	54	28	26	44	28	40
GLI1	15	6	14	9	17	3	16	30	22
INHBE	2	0	0	0	0	0	0	0	0
INHBC	3	0	1	0	0	0	0	2	0
R3HDM2	1842	1410	1661	1073	1086	1118	1182	1219	1402
STAC3	2	3	2	1	3	5	3	5	2
NDUFA4L2	35	14	8	48	46	45	10	31	13
SHMT2	1528	680	673	920	953	812	714	866	1077
NXPH4	85	31	20	101	95	82	52	53	60
LRP1	3478	2115	2300	2042	1981	2207	2269	2109	2249
LOC114114011	88	25	76	71	59	48	58	75	42
LOC114114218	0	0	0	0	0	0	0	0	0
STAT6	596	380	507	601	581	569	440	417	471
NAB2	158	94	146	209	176	240	162	149	143
LOC114114012	25	6	12	16	14	12	7	6	26
NEMP1	297	158	176	115	104	243	172	112	199
MYO1A	4	1	2	2	5	33	1	9	0
TAC3	0	0	0	0	0	0	0	0	0
ZBTB39	325	186	219	161	126	238	140	162	214
GPR182	74	42	33	86	82	57	55	70	80
LOC114113773	0	0	0	0	0	0	0	0	0
LOC101104222	1	1	5	28	19	3	4	2	21
SDR9C7	1	1	13	3	20	4	5	1	15
LOC101105400	2	7	4	7	15	5	1	5	7
PRIM1	276	180	189	101	106	245	90	110	180
NACA	4558	3681	3642	7548	6559	3640	2768	2706	4238
PTGES3	3039	1618	2177	1583	1249	2102	1406	1525	2903
ATP5F1B	29207	16242	18961	20858	19887	18301	20963	20185	26767
LOC114114232	0	0	0	3	0	1	2	0	0
LOC114114231	0	0	0	0	1	0	0	0	1
BAZ2A	2294	1466	1792	562	653	1245	1348	1240	1667
RBMS2	1311	1006	1124	825	868	1127	683	754	1227
LOC114114013	1	0	0	5	2	6	2	0	0
GLS2	86	39	78	50	35	45	66	51	75
SPRYD4	446	273	309	260	222	253	257	261	395
MIP	8	0	0	6	2	8	3	5	15
TIMELESS	70	75	49	72	80	114	52	79	87
LOC101107947	0	5	6	1	0	0	0	0	0
APOF	0	0	0	0	0	0	0	0	0
STAT2	1059	677	638	384	316	558	525	486	815
LOC114114296	2	0	0	0	0	0	0	2	1
IL23A	0	0	0	0	7	0	0	0	1
PAN2	475	309	316	422	384	352	309	282	513
CNPY2	1064	569	609	1361	1188	674	751	690	960
CS	3401	2430	2772	2298	2295	2626	3160	2752	3140
COQ10A	480	409	403	471	453	372	390	424	628
ANKRD52	628	414	426	313	256	472	515	475	515
SLC39A5	6817	2795	3912	4921	4855	2856	5310	5538	6157
NABP2	418	230	221	437	462	320	331	279	360
RNF41	852	601	620	451	425	577	476	447	586
LOC105612394	2	5	9	0	10	1	4	4	8
LOC114114014	6	2	3	0	0	2	5	3	4
LOC105612393	68	42	58	81	67	53	52	36	76
TRNAS-CGA	0	0	0	0	0	0	0	0	0
SMARCC2	1440	1147	1162	1116	1191	1455	1272	1288	1251
MYL6	2989	2794	3282	5184	5606	2855	4458	3156	3129
MYL6B	38	35	26	79	68	56	26	35	20
ESYT1	899	604	545	656	645	994	508	560	762
LOC114114015	0	3	0	0	2	0	2	1	0
ZC3H10	208	161	153	186	171	209	138	154	168
LOC101103639	3757	1910	1807	10858	10173	4896	5519	4795	5702
PA2G4	1224	868	1110	952	950	1151	860	791	1241
ERBB3	4417	1899	3193	1127	1213	2674	1816	2463	2273
LOC105612395	16	12	2	0	3	16	7	7	10
LOC114113636	0	0	0	0	0	0	0	0	0
RPS26	712	731	596	2820	1506	966	830	802	896
IKZF4	88	82	51	43	40	127	60	55	53
SUOX	794	580	464	584	547	433	716	523	640
LOC105612398	68	43	29	62	106	82	40	35	97
RAB5B	2444	1720	1929	1626	1509	2238	1717	1656	2142
CDK2	330	275	279	241	225	267	237	192	285
PMEL	19	15	8	18	35	17	9	12	7
DGKA	183	167	110	138	206	205	124	67	236
PYM1	38	27	31	67	73	57	69	41	40
MMP19	24	12	9	15	8	9	6	1	4
LOC101113745	122	91	91	120	73	111	94	80	96
DNAJC14	859	801	778	775	716	716	595	541	773
ORMDL2	665	416	471	444	503	403	425	342	450
SARNP	302	326	290	530	585	332	278	268	330
TRNAW-CCA_41	1	3	4	2	0	2	0	0	3
GDF11	38	40	39	33	21	36	43	58	43
CD63	5537	4233	4162	3902	4458	3185	3276	2712	4834
RDH5	208	110	101	165	311	185	179	173	182
BLOC1S1	0	0	0	0	0	0	0	0	0
ITGA7	358	304	176	611	694	804	279	361	404
METTL7B	1125	141	292	355	371	73	148	226	460
LOC101105405	0	0	0	0	0	0	0	0	0
LOC114114298	0	0	0	0	0	1	0	0	0
LOC101107691	0	0	0	0	0	0	0	0	0
LOC114113637	0	0	0	0	0	0	0	0	0
LOC101115952	0	0	0	0	0	0	0	0	0
LOC101105903	0	0	0	0	0	0	0	0	0
LOC101106159	0	0	0	0	0	0	0	0	0
LOC105614774	0	0	0	0	0	0	0	0	0
LOC101106418	0	0	0	0	0	0	0	0	0
LOC101104213	1	0	0	0	0	0	0	0	0
LOC101104465	0	0	0	0	0	0	0	0	0
LOC101107184	0	0	0	0	0	0	0	0	0
LOC101107433	0	0	0	0	0	0	0	0	0
LOC114113639	0	0	0	0	0	0	0	0	0
LOC101107951	0	0	0	0	0	0	0	0	0
LOC101108477	0	0	0	0	0	0	0	0	0
LOC101108739	0	0	0	0	0	0	0	0	0
LOC101116718	0	0	0	0	0	0	0	0	0
LOC101109530	0	0	0	0	0	0	0	0	0
LOC101109790	0	0	0	0	0	0	0	0	0
LOC101116977	0	0	0	0	0	0	0	0	0
LOC101110319	0	0	0	0	0	0	0	0	0
LOC114113640	0	0	0	0	0	0	0	0	0
LOC105614168	0	0	0	0	0	0	0	0	0
LOC114113642	0	0	0	0	0	0	0	0	0
LOC101113405	0	0	0	0	0	0	0	0	0
LOC101117235	0	0	0	0	0	0	0	0	0
LOC101122678	0	0	0	0	0	0	0	0	0
LOC101117745	0	0	0	0	0	0	0	0	0
LOC101111875	0	0	0	0	0	0	0	0	0
LOC106991002	0	0	0	0	0	0	0	0	0
LOC101118006	0	0	0	0	0	0	0	0	0
LOC101118260	0	0	0	0	0	0	0	0	0
LOC114113784	0	0	0	0	0	0	0	0	0
LOC101118518	0	0	0	0	0	0	0	0	0
LOC114113785	0	0	0	0	0	0	0	0	0
LOC114113646	0	0	0	0	0	0	0	0	0
LOC114113647	0	0	0	0	0	0	0	0	0
LOC101113670	0	0	0	0	0	0	0	0	0
LOC101113142	0	0	0	0	0	0	0	0	0
LOC114113787	0	0	0	0	0	0	0	0	0
LOC101114185	1	0	0	0	0	2	0	0	0
LOC101119032	25	2	2	0	0	4	0	1	2
LOC105614148	3	1	1	0	0	0	2	4	0
LOC114113789	44	2	14	0	0	5	7	12	12
LOC101115203	0	0	0	0	0	0	0	0	0
LOC101119548	0	0	0	0	0	0	0	0	0
LOC101115450	2	0	0	0	0	4	0	0	0
LOC101102551	0	0	0	0	0	0	0	0	0
LOC101119808	0	0	0	0	0	0	0	0	0
LOC101115700	0	0	0	0	0	0	0	0	0
LOC101115955	0	0	0	0	0	0	0	0	0
LOC101116222	0	0	0	0	0	0	0	0	0
LOC101116472	0	0	0	0	0	0	0	0	0
LOC101116721	0	0	0	0	0	0	0	0	0
LOC101116981	0	0	0	0	0	0	0	0	0
LOC101117240	0	0	0	0	0	0	0	0	0
LOC101117494	0	0	0	0	0	0	0	0	0
LOC101117750	0	0	0	0	0	0	0	0	0
LOC101118011	0	0	0	0	0	0	0	0	0
LOC101120067	0	0	0	0	0	0	0	0	0
LOC101118521	0	0	0	0	0	0	0	0	0
NEUROD4	0	0	0	0	0	0	0	0	0
TESPA1	59	18	25	17	17	21	18	11	27
NTN4	2410	900	1533	1084	1021	1087	722	1027	1161
SNRPF	248	227	242	275	302	222	174	149	164
CCDC38	129	101	63	116	96	146	62	56	153
AMDHD1	24	28	14	43	42	40	10	16	34
HAL	0	0	0	0	1	1	0	0	0
LTA4H	1979	1103	1147	845	900	887	796	752	998
TRNAD-GUC_12	0	0	0	0	0	0	0	0	0
ELK3	1746	1215	1134	1193	880	1469	773	875	1477
CDK17	913	536	734	396	316	718	312	430	760
CFAP54	142	71	76	47	55	144	44	68	54
TRNAG-ACC_1	0	0	0	0	0	0	0	0	0
NEDD1	655	327	368	300	224	582	210	270	525
LOC105609280	9	0	1	13	2	3	0	4	3
LOC114114250	0	0	0	3	0	1	0	0	0
TRNAD-GUC_13	0	0	0	0	0	0	0	0	0
TRNAW-CCA_42	2	1	0	0	2	4	0	0	0
TMPO	1491	846	1043	831	652	1431	711	748	1163
SLC25A3	9091	4794	5333	6757	5880	6368	6108	5803	8783
LOC114114259	26	9	2	16	15	18	4	10	5
IKBIP	589	337	470	237	256	426	248	313	463
APAF1	536	323	268	198	102	547	213	245	442
LOC105614781	7	10	12	6	10	25	3	35	22
ANKS1B	463	177	267	147	119	161	148	299	207
LOC101109273	219	87	88	300	262	254	106	128	209
LOC114114019	0	0	0	0	0	0	0	0	0
LOC114114017	0	0	0	0	0	0	0	0	0
LOC114114018	0	0	0	0	0	0	0	0	0
LOC114114016	0	1	0	0	0	2	0	0	0
UHRF1BP1L	2630	1458	1972	865	763	1265	1409	1119	2303
LOC114114020	224	84	77	71	62	3	48	54	3
ACTR6	625	404	458	466	378	415	304	286	477
DEPDC4	51	18	20	28	21	43	21	19	45
SCYL2	2067	1200	1655	837	667	1473	983	1039	1675
LOC114114021	44	21	17	35	26	30	13	24	27
SLC17A8	0	0	0	0	0	0	0	0	0
LOC114113648	0	0	0	0	0	0	0	0	0
LOC114114200	0	0	0	0	0	0	0	0	0
NR1H4	1343	455	738	524	443	551	631	470	707
GAS2L3	27	12	6	4	3	17	9	9	8
ANO4	0	16	0	4	0	36	0	0	1
SLC5A8	0	1	0	0	0	6	0	0	0
UTP20	1301	657	826	421	407	599	650	588	955
ARL1	5347	2659	3680	2478	2077	2890	2669	2512	4625
SPIC	5	21	4	0	0	1	0	0	1
MYBPC1	39	10	14	14	28	1	28	27	84
CHPT1	6376	2159	3214	1823	1555	1951	2808	2471	4311
SYCP3	2565	1075	1381	744	641	1266	799	713	2075
GNPTAB	2367	1788	1545	1091	991	1872	1487	1238	2470
DRAM1	316	150	111	181	156	190	139	148	220
WASHC3	416	382	323	447	430	306	298	261	390
NUP37	127	65	90	173	117	118	80	79	124
PARPBP	5	1	5	3	2	7	4	7	13
PMCH	2	1	0	0	3	2	1	2	1
LOC114113795	0	0	0	1	0	0	0	0	0
IGF1	175	106	84	36	38	150	56	78	73
LOC114114182	0	0	0	0	0	0	0	0	0
PAH	15093	9785	14233	4777	4200	808	6263	6101	7653
ASCL1	4	3	0	1	1	0	2	3	0
LOC114114282	0	0	0	0	0	0	0	0	0
C3H12orf42	0	0	0	0	0	0	0	0	0
STAB2	4	8	5	6	16	1	10	4	5
NT5DC3	343	258	229	100	78	277	179	249	391
LOC101123368	29	24	28	19	18	48	49	35	68
HSP90B1	16719	9794	14965	12742	11155	11098	12081	11048	18081
C3H12orf73	85	116	60	119	170	89	84	74	81
TRNAW-CCA_43	0	2	0	0	0	0	0	0	0
TDG	696	351	308	348	238	571	250	257	525
GLT8D2	14	25	30	14	27	33	24	24	12
HCFC2	606	404	459	201	162	466	259	271	438
LOC101112471	1	0	1	0	0	4	0	3	1
LOC114114147	0	6	4	3	0	1	0	0	2
NFYB	590	303	421	328	315	526	233	252	571
LOC105614788	15	8	9	11	27	10	5	13	6
TRNAA-UGC_4	0	0	0	0	0	0	0	0	0
TXNRD1	1944	1085	1297	1204	1032	1390	1027	1141	1486
EID3	218	102	172	131	109	69	184	136	266
CHST11	13	13	13	3	5	11	14	23	16
LOC114114220	0	0	0	0	0	0	0	0	0
SLC41A2	1415	282	209	88	60	223	79	165	144
C3H12orf45	442	297	215	224	154	292	207	285	393
ALDH1L2	162	149	89	105	77	135	95	83	108
WASHC4	4815	1951	2896	1363	1201	1843	1912	1848	3211
APPL2	1573	1004	1286	846	747	986	904	970	1247
C3H12orf75	1324	880	891	1069	854	3871	715	678	1082
NUAK1	513	319	303	205	210	449	209	233	301
CKAP4	456	290	271	431	339	620	455	348	584
TCP11L2	782	350	535	292	274	514	408	404	533
LOC114114024	8	11	1	0	0	2	4	3	1
POLR3B	2899	1914	2150	1695	1832	1096	2299	1847	2571
RFX4	0	2	0	0	0	0	2	0	0
LOC101116302	1	0	1	1	0	0	0	0	0
LOC114114025	0	0	0	1	0	0	0	0	0
RIC8B	436	390	370	325	286	402	228	235	411
TMEM263	1383	712	920	687	574	891	569	637	1048
MTERF2	506	241	309	474	378	368	251	238	526
LOC114114026	1	2	0	0	0	3	4	4	2
CRY1	222	118	156	118	83	118	100	83	148
BTBD11	414	246	185	149	175	536	199	158	402
TRNAG-CCC_35	0	0	0	0	0	0	0	0	0
PWP1	953	579	564	560	489	647	524	543	817
PRDM4	1177	677	740	647	574	617	747	665	848
ASCL4	2	0	1	1	0	0	0	1	4
RTCB	1331	662	920	577	506	780	779	712	1218
BPIFC	7	8	2	0	0	8	0	6	1
FBXO7	1221	894	835	744	689	882	784	700	1403
LOC114114028	4	3	0	1	0	1	4	0	3
LOC114114029	0	0	0	0	0	0	0	0	0
TIMP3	1960	1657	1641	469	472	3032	1095	1238	2507
LOC101118937	0	0	1	0	0	1	0	1	0
LOC114113651	0	0	0	0	0	0	0	0	0
LOC101112712	0	0	0	0	0	0	0	0	0
LOC101119384	0	0	0	0	0	0	0	1	0
LOC101119629	7	2	4	13	14	211	0	13	4
LOC101119895	19	3	0	13	10	27	1	34	19
LARGE1	528	391	336	330	308	359	369	389	557
TRNAR-CCU_5	0	0	0	0	0	0	0	0	0
ISX	0	2	0	0	0	0	0	0	0
HMGXB4	263	237	214	181	210	240	137	163	219
TOM1	894	601	591	1095	1133	538	884	780	817
HMOX1	1492	1642	3403	1740	1999	610	2258	1557	3400
MCM5	185	133	102	185	176	172	161	148	160
LOC114113652	0	0	0	0	0	0	0	0	0
RASD2	21	8	27	99	85	11	43	21	39
MB	3	0	0	2	5	1	1	2	1
LOC101104568	1	4	0	3	0	6	0	1	2
RBFOX2	990	648	665	575	523	902	471	566	792
LOC114114152	0	0	0	0	2	1	0	0	0
LOC114113800	5	0	0	0	0	0	0	1	9
LOC105605766	99	57	32	7	11	29	9	25	29
LOC101105566	0	0	0	0	0	0	0	0	0
LOC105605770	882	786	553	633	572	896	365	359	934
LOC101105321	2	5	7	2	0	9	11	7	8
LOC101105069	2	6	3	0	0	0	2	0	0
LOC114114254	0	0	0	0	0	0	0	0	0
LOC114114030	0	2	0	0	0	4	0	0	0
LOC101102047	2636	5003	6682	4306	3733	3729	1725	2386	9414
LOC101109077	1	6	7	4	0	3	19	0	1
LOC101104893	0	0	0	0	0	2	1	1	0
LOC114114031	10	7	8	1	6	14	16	4	10
LOC101121414	14	2	10	11	6	11	11	5	18
MYH9	9174	6237	7175	5727	6014	7375	6173	6883	7500
LOC114114032	9	5	2	4	2	10	6	21	16
LOC114114183	0	1	0	0	0	1	2	0	0
TXN2	1584	894	1093	1753	1792	1089	1456	1265	1493
LOC105610956	7	7	8	2	3	7	12	8	5
FOXRED2	41	27	43	30	15	46	25	28	39
EIF3D	1508	1155	847	1740	1544	1262	951	927	1332
TRNAE-UUC_36	0	0	0	0	0	0	0	0	0
LOC105610957	2	0	0	6	5	0	0	0	0
CACNG2	0	0	0	0	0	0	0	0	0
IFT27	414	228	262	315	428	322	297	304	238
PVALB	26	2	42	2	10	0	47	27	7
TRNAE-UUC_37	0	0	0	0	0	0	0	0	0
NCF4	67	16	42	39	74	22	76	42	44
CSF2RB	237	175	230	121	121	109	94	72	206
LOC114114150	0	0	0	0	0	0	0	0	0
LOC101123456	0	0	0	0	0	0	0	0	0
TST	6705	2982	3856	6571	6117	4621	3134	4478	5992
