D0_R1	D0_R2	D0_R3	D7_R1	D7_R2	D7_R3	D14_R1	D14_R2	D14_R3
TRNAC-ACA_4	0	0	0	0	0	0	0	0	0
LOC114111005	0	0	0	0	0	0	0	0	0
OMA1	733	315	405	546	449	381	471	513	578
TACSTD2	54	23	41	86	74	65	37	72	106
MYSM1	929	597	536	372	365	1077	476	457	830
JUN	625	2120	830	769	1344	841	526	627	1121
LOC106990843	6	0	8	8	1	0	4	1	0
TRNAG-CCC_1	0	0	0	0	0	0	0	0	0
TRNAS-GGA	0	0	0	0	0	0	0	0	0
LOC105608334	2	1	0	3	1	0	1	0	0
LOC114111089	0	0	0	0	0	0	0	0	0
LOC114115006	0	0	0	0	0	0	0	0	3
LOC105608331	9	8	15	7	12	6	3	1	9
FGGY	1829	1078	999	769	764	812	834	676	1265
LOC114115024	2	0	3	0	2	0	2	0	0
LOC114115018	1	1	4	0	1	2	3	3	3
HOOK1	1454	619	796	371	335	720	623	511	1048
LOC101121563	165	81	37	86	120	140	25	48	51
LOC101121820	45	34	32	42	39	85	10	27	10
LOC101104943	6357	7604	5034	793	628	506	2534	5915	6899
TRNAA-AGC	0	0	0	0	0	0	0	0	0
CYP2J	518	234	408	236	255	201	375	308	352
C1H1orf87	1	0	0	4	0	0	0	0	0
LOC114113010	0	3	0	0	0	1	0	0	0
LOC114115115	0	1	0	0	0	4	0	0	0
LOC114115126	0	0	0	1	0	0	0	0	0
LOC105612174	11	3	5	15	32	13	8	1	11
LOC105612432	4	7	5	4	8	11	4	9	10
NFIA	4713	2584	3310	1713	1381	2597	2312	2571	3874
LOC106990844	6	4	4	3	0	1	1	0	2
LOC101122828	0	0	0	0	0	0	0	0	1
TM2D1	759	333	455	518	522	442	335	349	582
LOC101106044	5055	2857	3662	1920	1571	2800	2402	2179	3288
TRNAE-UUC_2	0	1	1	0	0	3	0	0	0
LOC114110793	8	14	0	0	0	5	0	0	9
LOC114115224	730	911	1285	576	561	1042	662	401	1807
LOC114111027	0	0	0	0	0	0	0	0	0
KANK4	91	55	63	49	27	70	67	72	57
